,Corporeality,Sliminess,Intellect,Hostility,Grotesqueness,Exorcist Hired,Cost of Exorcism (sp)
10814,67,79,84,59,69,Phantom Pummelers,4050
10815,27,48,41,35,21,Spectre Slayers,3812
10816,35,73,82,48,68,Entity Eliminators,4550
10817,37,12,53,16,37,Demon Destroyers,2642
10818,65,18,61,70,57,Entity Eliminators,2227
10819,64,47,56,40,79,Mundanifying Mystics,2335
10820,42,24,29,29,34,Phantom Pummelers,1972
10821,84,60,41,87,78,Mundanifying Mystics,2099
10822,22,45,22,37,16,Demon Destroyers,1145
10823,45,22,19,47,26,Phantom Pummelers,1363
10824,49,21,32,26,20,Spectre Slayers,3249
10825,24,33,19,43,52,Demon Destroyers,3364
10826,30,23,17,56,35,Entity Eliminators,1608
10827,25,22,58,29,31,Mundanifying Mystics,3292
10828,55,16,41,28,19,Mundanifying Mystics,3725
10829,54,28,14,32,23,Entity Eliminators,3099
10830,36,30,12,25,51,Mundanifying Mystics,3677
10831,44,64,75,76,61,Phantom Pummelers,3782
10832,54,74,85,75,75,Mundanifying Mystics,2666
10833,79,42,79,66,80,Entity Eliminators,3196
10834,20,24,36,12,11,Demon Destroyers,914
10835,19,16,29,15,15,Demon Destroyers,1274
10836,42,63,80,67,72,Demon Destroyers,4894
10837,44,30,51,33,23,Phantom Pummelers,1430
10838,68,39,53,92,82,Demon Destroyers,6208
10839,55,58,30,65,79,Wraith Wranglers,5534
10840,46,25,21,75,53,Demon Destroyers,5148
10841,44,17,50,32,22,Phantom Pummelers,2478
10842,37,32,52,33,33,Entity Eliminators,2326
10843,72,60,52,55,88,Mundanifying Mystics,2923
10844,72,68,81,42,78,Demon Destroyers,5515
10845,77,84,75,75,78,Demon Destroyers,5667
10846,23,82,20,12,19,Demon Destroyers,1665
10847,16,13,23,77,28,Demon Destroyers,2066
10848,15,28,42,36,20,Mundanifying Mystics,4390
10849,68,66,51,70,78,Demon Destroyers,4706
10850,46,52,39,96,62,Phantom Pummelers,2749
10851,70,83,76,73,73,Phantom Pummelers,3773
10852,64,20,49,74,52,Phantom Pummelers,2809
10853,50,60,63,67,64,Mundanifying Mystics,2904
10854,29,59,43,50,44,Mundanifying Mystics,3868
10855,14,19,41,13,11,Wraith Wranglers,1948
10856,64,63,38,74,68,Entity Eliminators,5404
10857,61,74,78,89,60,Phantom Pummelers,4025
10858,74,24,6,45,62,Wraith Wranglers,3745
10859,62,58,83,87,68,Wraith Wranglers,7764
10860,90,63,29,78,60,Entity Eliminators,1949
10861,14,14,11,21,29,Mundanifying Mystics,3696
10862,59,22,50,16,18,Mundanifying Mystics,3098
10863,57,60,77,68,75,Phantom Pummelers,3607
10864,57,54,81,19,32,Phantom Pummelers,3303
10865,71,42,75,62,69,Mundanifying Mystics,2812
10866,30,58,54,43,19,Mundanifying Mystics,4315
10867,57,74,21,25,60,Spectre Slayers,1956
10868,17,32,35,10,12,Spectre Slayers,3673
10869,82,58,60,23,77,Phantom Pummelers,4471
10870,37,29,17,25,27,Entity Eliminators,1497
10871,64,39,27,24,21,Wraith Wranglers,1423
10872,77,57,49,67,44,Demon Destroyers,2701
10873,33,16,74,40,30,Phantom Pummelers,1488
10874,42,30,14,17,21,Demon Destroyers,945
10875,57,77,50,45,17,Entity Eliminators,3524
10876,74,64,57,84,74,Demon Destroyers,5699
10877,35,49,77,42,61,Mundanifying Mystics,2757
10878,35,19,19,54,36,Spectre Slayers,1619
10879,49,51,41,81,69,Mundanifying Mystics,2463
10880,47,46,79,28,56,Demon Destroyers,4068
10881,72,72,37,43,68,Mundanifying Mystics,2518
10882,52,69,49,91,52,Mundanifying Mystics,3259
10883,45,52,29,38,33,Mundanifying Mystics,2191
10884,43,27,25,58,48,Phantom Pummelers,3111
10885,19,12,18,46,20,Mundanifying Mystics,3875
10886,89,61,51,52,71,Entity Eliminators,6292
10887,45,71,33,19,37,Demon Destroyers,2039
10888,27,20,51,64,25,Phantom Pummelers,1590
10889,19,26,82,62,23,Phantom Pummelers,3092
10890,74,72,26,71,80,Entity Eliminators,6312
10891,39,66,72,84,66,Entity Eliminators,3686
10892,77,82,68,76,86,Mundanifying Mystics,2142
10893,72,57,85,85,70,Demon Destroyers,4433
10894,50,15,21,69,49,Wraith Wranglers,4098
10895,21,26,16,60,59,Mundanifying Mystics,2835
10896,68,39,35,23,35,Demon Destroyers,2951
10897,57,15,22,48,19,Entity Eliminators,2214
10898,44,70,78,80,59,Phantom Pummelers,4238
10899,43,54,62,24,55,Demon Destroyers,3454
10900,35,36,48,26,29,Wraith Wranglers,1416
10901,83,63,80,50,35,Spectre Slayers,4758
10902,24,15,12,37,12,Phantom Pummelers,1929
10903,62,75,69,79,67,Demon Destroyers,4561
10904,33,49,53,74,73,Wraith Wranglers,4334
10905,15,50,38,34,36,Demon Destroyers,2663
10906,50,66,93,70,82,Entity Eliminators,5062
10907,53,49,89,80,71,Mundanifying Mystics,1845
10908,22,11,45,42,14,Wraith Wranglers,3148
10909,67,61,94,63,57,Mundanifying Mystics,2529
10910,66,77,42,76,51,Phantom Pummelers,4347
10911,26,35,48,10,45,Spectre Slayers,2844
10912,53,68,57,62,51,Mundanifying Mystics,2215
10913,74,80,52,90,60,Mundanifying Mystics,3730
10914,29,18,19,24,19,Entity Eliminators,2202
10915,32,18,34,37,35,Wraith Wranglers,3863
10916,61,51,44,21,18,Wraith Wranglers,2805
10917,77,74,79,81,75,Demon Destroyers,5362
10918,32,13,74,39,45,Phantom Pummelers,1992
10919,69,85,78,62,79,Demon Destroyers,4745
10920,20,22,11,32,25,Mundanifying Mystics,3661
10921,45,16,50,35,18,Demon Destroyers,2045
10922,19,31,52,12,12,Demon Destroyers,796
10923,61,77,68,53,49,Mundanifying Mystics,2845
10924,70,43,61,61,64,Mundanifying Mystics,2447
10925,57,60,73,82,53,Entity Eliminators,2789
10926,39,28,9,12,14,Phantom Pummelers,1942
10927,17,33,30,21,30,Phantom Pummelers,2970
10928,53,54,81,53,61,Mundanifying Mystics,2924
10929,58,66,83,78,73,Demon Destroyers,3117
10930,22,10,15,26,21,Mundanifying Mystics,3649
10931,41,22,8,12,26,Mundanifying Mystics,4204
10932,44,60,39,68,75,Mundanifying Mystics,1840
10933,8,9,39,22,40,Demon Destroyers,2085
10934,19,30,48,13,17,Mundanifying Mystics,1994
10935,74,39,63,83,68,Spectre Slayers,4183
10936,88,55,72,87,70,Demon Destroyers,4850
10937,59,60,86,89,74,Entity Eliminators,3536
10938,67,55,58,65,70,Spectre Slayers,2968
10939,20,35,61,20,19,Demon Destroyers,1749
10940,77,27,75,77,41,Demon Destroyers,2646
10941,43,13,21,32,27,Mundanifying Mystics,4207
10942,46,30,23,21,28,Demon Destroyers,1396
10943,75,60,63,54,67,Entity Eliminators,6060
10944,47,78,65,9,18,Wraith Wranglers,1848
10945,19,56,72,71,64,Phantom Pummelers,4028
10946,59,76,79,82,57,Mundanifying Mystics,2701
10947,50,35,60,76,62,Spectre Slayers,3059
10948,55,31,85,9,45,Wraith Wranglers,1651
10949,41,34,12,31,32,Spectre Slayers,1988
10950,55,13,79,51,81,Entity Eliminators,4070
10951,52,35,29,23,15,Entity Eliminators,1696
10952,19,31,11,31,18,Mundanifying Mystics,3612
10953,78,61,43,78,69,Demon Destroyers,4653
10954,55,29,41,32,62,Demon Destroyers,4369
10955,30,32,16,53,35,Demon Destroyers,3616
10956,25,25,41,45,32,Phantom Pummelers,1665
10957,14,13,23,26,17,Demon Destroyers,1468
10958,22,26,19,29,15,Mundanifying Mystics,3106
10959,43,25,18,37,15,Demon Destroyers,1489
10960,23,10,46,27,17,Phantom Pummelers,1730
10961,57,19,80,67,51,Phantom Pummelers,3163
10962,63,32,72,89,47,Mundanifying Mystics,2898
10963,85,70,64,49,68,Wraith Wranglers,5518
10964,40,50,72,27,57,Demon Destroyers,2869
10965,37,49,49,84,50,Phantom Pummelers,4289
10966,35,18,50,20,37,Demon Destroyers,2476
10967,63,84,70,90,80,Entity Eliminators,5826
10968,46,35,20,9,19,Demon Destroyers,1800
10969,39,42,14,56,40,Demon Destroyers,3735
10970,49,74,72,70,81,Wraith Wranglers,5610
10971,45,15,39,25,23,Demon Destroyers,1711
10972,78,62,46,85,57,Entity Eliminators,3954
10973,20,66,61,27,53,Entity Eliminators,4395
10974,50,23,15,48,41,Wraith Wranglers,3910
10975,41,30,15,30,31,Demon Destroyers,1417
10976,53,80,33,64,67,Demon Destroyers,4002
10977,90,46,49,27,59,Wraith Wranglers,4189
10978,57,69,83,73,75,Demon Destroyers,4207
10979,13,22,32,61,49,Mundanifying Mystics,3994
10980,90,61,92,93,38,Phantom Pummelers,3997
10981,20,11,13,20,29,Phantom Pummelers,1167
10982,19,40,9,12,25,Phantom Pummelers,3356
10983,30,29,44,9,19,Entity Eliminators,1784
10984,51,66,37,76,61,Spectre Slayers,2024
10985,68,46,73,67,77,Spectre Slayers,4989
10986,71,51,33,72,67,Demon Destroyers,3400
10987,52,65,80,81,71,Mundanifying Mystics,1742
10988,34,40,42,17,17,Demon Destroyers,1482
10989,37,26,7,44,27,Mundanifying Mystics,3888
10990,62,81,76,93,62,Mundanifying Mystics,4334
10991,17,53,23,12,16,Mundanifying Mystics,4867
10992,20,23,29,36,28,Wraith Wranglers,3531
10993,32,24,11,22,25,Demon Destroyers,2036
10994,13,30,57,6,16,Phantom Pummelers,1274
10995,19,20,24,11,9,Wraith Wranglers,2125
10996,52,63,84,75,48,Mundanifying Mystics,2115
10997,51,50,68,41,32,Mundanifying Mystics,2005
10998,33,65,90,65,52,Phantom Pummelers,5172
10999,60,60,49,85,72,Spectre Slayers,3900
11000,27,31,53,46,19,Spectre Slayers,5160
11001,44,27,48,22,40,Mundanifying Mystics,3304
11002,67,68,84,53,69,Mundanifying Mystics,3605
11003,48,34,85,76,35,Demon Destroyers,2128
11004,48,16,83,15,28,Wraith Wranglers,2056
11005,71,69,94,51,68,Wraith Wranglers,5325
11006,25,17,27,31,35,Entity Eliminators,2384
11007,63,91,80,86,71,Demon Destroyers,5008
11008,50,71,90,67,70,Demon Destroyers,5130
11009,20,31,16,24,24,Entity Eliminators,1678
11010,70,83,91,65,60,Wraith Wranglers,3492
11011,81,93,59,67,50,Mundanifying Mystics,2509
11012,41,72,67,78,59,Mundanifying Mystics,3530
11013,74,45,89,54,65,Wraith Wranglers,5345
11014,55,79,72,82,70,Demon Destroyers,3604
11015,63,71,31,85,71,Phantom Pummelers,4505
11016,20,17,6,46,39,Mundanifying Mystics,2913
11017,55,35,87,78,47,Spectre Slayers,6306
11018,86,76,67,73,68,Wraith Wranglers,3953
11019,36,26,13,29,19,Entity Eliminators,3041
11020,39,38,89,14,33,Demon Destroyers,2554
11021,65,73,83,66,59,Entity Eliminators,3754
11022,29,68,51,67,62,Mundanifying Mystics,3068
11023,68,77,87,57,64,Demon Destroyers,4584
11024,83,66,76,64,64,Mundanifying Mystics,3179
11025,76,70,21,72,54,Phantom Pummelers,4213
11026,56,69,33,15,59,Spectre Slayers,3425
11027,57,64,83,76,80,Spectre Slayers,6871
11028,22,51,17,18,14,Demon Destroyers,838
11029,37,33,5,21,24,Mundanifying Mystics,1851
11030,59,65,48,79,66,Demon Destroyers,5624
11031,43,73,36,77,86,Entity Eliminators,4078
11032,28,49,23,18,20,Demon Destroyers,2154
11033,43,64,38,25,19,Phantom Pummelers,4151
11034,63,43,45,93,71,Mundanifying Mystics,2438
11035,25,42,44,39,36,Entity Eliminators,5098
11036,42,46,66,80,60,Demon Destroyers,3574
11037,28,48,17,37,51,Demon Destroyers,4129
11038,43,26,79,83,75,Phantom Pummelers,2825
11039,66,73,82,84,69,Mundanifying Mystics,3183
11040,36,50,66,45,40,Entity Eliminators,4006
11041,56,16,51,60,36,Wraith Wranglers,2945
11042,38,32,64,23,39,Entity Eliminators,3337
11043,40,19,8,22,22,Entity Eliminators,2158
11044,36,64,70,85,60,Spectre Slayers,5703
11045,65,48,78,46,79,Demon Destroyers,4595
11046,28,39,59,59,67,Entity Eliminators,2408
11047,18,29,48,39,44,Demon Destroyers,2571
11048,37,13,16,10,23,Entity Eliminators,1782
11049,23,23,88,87,54,Demon Destroyers,5375
11050,73,81,78,13,38,Mundanifying Mystics,3941
11051,69,78,67,31,49,Entity Eliminators,4048
11052,42,69,69,52,77,Demon Destroyers,6355
11053,86,75,77,75,67,Wraith Wranglers,5662
11054,68,80,83,61,69,Demon Destroyers,5350
11055,42,29,9,52,15,Demon Destroyers,2335
11056,66,51,59,74,65,Spectre Slayers,3727
11057,28,32,63,14,41,Demon Destroyers,1852
11058,56,56,45,54,75,Wraith Wranglers,3539
11059,55,75,20,75,56,Entity Eliminators,3656
11060,66,69,83,70,75,Demon Destroyers,2757
11061,16,22,13,13,17,Entity Eliminators,2132
11062,59,69,68,72,79,Demon Destroyers,4593
11063,29,15,56,33,25,Demon Destroyers,1457
11064,25,14,52,65,30,Mundanifying Mystics,2555
11065,48,47,21,18,19,Demon Destroyers,1803
11066,45,19,35,29,18,Spectre Slayers,3081
11067,28,10,13,28,11,Demon Destroyers,1363
11068,25,20,22,23,30,Mundanifying Mystics,1608
11069,47,79,71,87,74,Demon Destroyers,5171
11070,48,66,76,77,81,Entity Eliminators,5446
11071,20,13,59,38,15,Demon Destroyers,1465
11072,38,56,17,18,42,Mundanifying Mystics,3143
11073,69,85,19,87,75,Mundanifying Mystics,1679
11074,78,42,43,84,72,Spectre Slayers,2488
11075,64,84,77,76,82,Mundanifying Mystics,2349
11076,52,18,44,40,38,Demon Destroyers,3302
11077,62,59,80,41,59,Demon Destroyers,2601
11078,79,66,82,94,95,Mundanifying Mystics,2865
11079,64,76,78,90,81,Entity Eliminators,4316
11080,34,52,6,29,13,Entity Eliminators,2284
11081,20,12,27,22,36,Phantom Pummelers,2244
11082,69,25,41,15,71,Entity Eliminators,3913
11083,73,79,75,47,44,Wraith Wranglers,4116
11084,47,27,41,64,22,Entity Eliminators,2316
11085,59,69,44,75,85,Demon Destroyers,5458
11086,29,50,77,52,48,Phantom Pummelers,3746
11087,19,10,18,33,32,Spectre Slayers,2112
11088,74,44,63,32,62,Mundanifying Mystics,2134
11089,24,23,18,20,34,Spectre Slayers,1286
11090,34,14,36,30,20,Mundanifying Mystics,3281
11091,51,48,63,80,79,Spectre Slayers,4497
11092,75,75,49,61,65,Wraith Wranglers,4379
11093,67,29,52,34,19,Demon Destroyers,1859
11094,16,9,54,9,15,Demon Destroyers,1175
11095,66,64,55,77,75,Wraith Wranglers,4762
11096,78,67,87,81,82,Wraith Wranglers,5983
11097,27,31,58,94,18,Mundanifying Mystics,2809
11098,55,27,18,33,26,Entity Eliminators,2145
11099,36,42,19,15,30,Mundanifying Mystics,3758
11100,16,46,73,72,21,Phantom Pummelers,3864
11101,38,56,36,36,34,Demon Destroyers,2649
11102,27,19,6,20,21,Demon Destroyers,1966
11103,28,24,10,70,34,Wraith Wranglers,3087
11104,54,30,14,7,29,Mundanifying Mystics,4078
11105,49,35,15,13,16,Phantom Pummelers,2275
11106,20,44,30,30,31,Demon Destroyers,2159
11107,47,44,3,63,66,Spectre Slayers,669
11108,22,35,69,82,45,Entity Eliminators,4412
11109,64,36,15,45,37,Wraith Wranglers,1737
11110,61,44,69,70,79,Wraith Wranglers,5387
11111,64,59,73,82,65,Mundanifying Mystics,2247
11112,73,66,83,84,51,Entity Eliminators,4050
11113,32,24,20,30,19,Mundanifying Mystics,3641
11114,58,72,73,52,73,Demon Destroyers,4324
11115,24,64,82,15,70,Spectre Slayers,5702
11116,52,71,81,76,46,Demon Destroyers,2572
11117,37,17,11,32,18,Mundanifying Mystics,3220
11118,63,22,54,42,30,Spectre Slayers,5039
11119,73,41,63,44,24,Mundanifying Mystics,2633
11120,38,34,43,41,23,Entity Eliminators,3306
11121,49,19,30,23,31,Spectre Slayers,1927
11122,64,79,74,88,73,Entity Eliminators,3506
11123,23,70,9,48,12,Mundanifying Mystics,2380
11124,14,51,22,7,18,Demon Destroyers,1519
11125,62,57,68,24,34,Mundanifying Mystics,3535
11126,22,21,9,11,26,Phantom Pummelers,2074
11127,62,45,88,66,79,Phantom Pummelers,3944
11128,48,47,23,83,81,Phantom Pummelers,2383
11129,65,35,79,74,67,Mundanifying Mystics,3085
11130,10,29,21,61,68,Demon Destroyers,4513
11131,9,9,5,19,52,Wraith Wranglers,1648
11132,34,15,24,39,24,Demon Destroyers,2236
11133,72,44,85,52,72,Phantom Pummelers,2863
11134,34,37,20,28,27,Mundanifying Mystics,2321
11135,64,21,73,35,66,Phantom Pummelers,1637
11136,55,31,46,59,19,Spectre Slayers,3243
11137,55,18,18,23,61,Mundanifying Mystics,3232
11138,65,87,72,67,73,Phantom Pummelers,5120
11139,84,80,78,52,55,Demon Destroyers,2349
11140,48,65,64,31,64,Wraith Wranglers,4107
11141,23,57,56,39,30,Mundanifying Mystics,2764
11142,24,23,25,42,22,Wraith Wranglers,2171
11143,12,26,11,21,21,Entity Eliminators,1610
11144,18,65,45,19,54,Phantom Pummelers,4899
11145,24,26,83,37,49,Mundanifying Mystics,4265
11146,83,81,68,43,28,Spectre Slayers,6506
11147,36,19,52,38,21,Entity Eliminators,1335
11148,79,70,85,72,76,Mundanifying Mystics,1844
11149,44,60,64,45,64,Entity Eliminators,2649
11150,40,25,38,22,46,Phantom Pummelers,2349
11151,55,56,61,82,66,Mundanifying Mystics,2916
11152,63,26,53,23,22,Mundanifying Mystics,3768
11153,70,73,82,70,62,Phantom Pummelers,3455
11154,19,19,53,29,29,Mundanifying Mystics,2479
11155,60,73,79,74,77,Entity Eliminators,5813
11156,26,21,35,21,24,Demon Destroyers,1629
11157,37,16,20,69,34,Spectre Slayers,1468
11158,41,17,22,32,19,Mundanifying Mystics,3088
11159,43,66,78,88,34,Wraith Wranglers,5886
11160,36,42,40,27,27,Wraith Wranglers,1860
11161,25,59,85,38,65,Spectre Slayers,5690
11162,69,84,75,54,74,Phantom Pummelers,7072
11163,18,24,71,65,18,Entity Eliminators,1730
11164,37,20,12,45,28,Mundanifying Mystics,3966
11165,47,75,64,69,82,Spectre Slayers,5104
11166,12,16,68,44,21,Phantom Pummelers,1700
11167,21,21,19,17,25,Entity Eliminators,3072
11168,39,31,12,20,16,Spectre Slayers,2040
11169,16,5,6,17,28,Demon Destroyers,1713
11170,46,31,47,69,28,Demon Destroyers,2086
11171,22,14,22,17,12,Spectre Slayers,3021
11172,38,12,23,31,26,Demon Destroyers,2461
11173,57,36,45,72,27,Entity Eliminators,1838
11174,75,50,84,41,65,Wraith Wranglers,2568
11175,65,54,87,69,80,Spectre Slayers,5732
11176,53,53,39,74,76,Phantom Pummelers,2111
11177,58,56,28,57,61,Wraith Wranglers,5377
11178,62,77,44,57,67,Mundanifying Mystics,2582
11179,54,23,49,43,72,Phantom Pummelers,2535
11180,25,33,51,17,19,Spectre Slayers,4987
11181,18,56,30,80,79,Mundanifying Mystics,2209
11182,33,38,5,49,32,Mundanifying Mystics,4170
11183,33,26,8,39,16,Mundanifying Mystics,3957
11184,22,10,22,21,27,Mundanifying Mystics,3071
11185,16,46,68,49,26,Mundanifying Mystics,2802
11186,71,36,50,62,60,Demon Destroyers,3773
11187,16,11,24,43,27,Demon Destroyers,2192
11188,28,21,28,32,45,Entity Eliminators,1693
11189,33,29,19,57,17,Entity Eliminators,1981
11190,60,54,71,57,79,Mundanifying Mystics,2438
11191,54,42,80,66,70,Mundanifying Mystics,3081
11192,80,83,87,80,69,Phantom Pummelers,4801
11193,31,28,18,18,19,Spectre Slayers,2572
11194,66,75,31,56,55,Entity Eliminators,6679
11195,28,28,51,38,33,Mundanifying Mystics,2792
11196,46,64,72,18,43,Phantom Pummelers,3274
11197,47,49,68,79,77,Wraith Wranglers,7167
11198,37,13,14,31,18,Wraith Wranglers,2266
11199,35,16,31,17,43,Spectre Slayers,1613
11200,20,33,87,65,48,Demon Destroyers,2761
11201,49,66,33,73,54,Mundanifying Mystics,2785
11202,70,64,51,56,61,Entity Eliminators,3791
11203,22,25,18,38,19,Mundanifying Mystics,4719
11204,57,73,76,38,63,Entity Eliminators,6361
11205,73,47,66,85,70,Spectre Slayers,4120
11206,26,9,21,20,21,Mundanifying Mystics,3276
11207,25,8,42,72,40,Phantom Pummelers,1147
11208,77,62,95,66,72,Wraith Wranglers,2890
11209,48,67,85,51,70,Entity Eliminators,4415
11210,63,79,79,82,76,Phantom Pummelers,4717
11211,53,67,50,38,58,Wraith Wranglers,3719
11212,85,84,12,31,72,Wraith Wranglers,3016
11213,87,70,68,62,34,Demon Destroyers,3002
11214,67,42,58,39,59,Demon Destroyers,3357
11215,72,62,75,67,64,Mundanifying Mystics,2369
11216,40,27,33,7,9,Demon Destroyers,1007
11217,33,19,20,24,23,Demon Destroyers,2543
11218,78,53,88,86,79,Demon Destroyers,3292
11219,30,22,7,42,49,Demon Destroyers,2007
11220,90,39,61,51,59,Wraith Wranglers,4210
11221,33,48,11,36,28,Mundanifying Mystics,3537
11222,30,73,82,44,26,Mundanifying Mystics,2637
11223,70,69,33,60,51,Phantom Pummelers,3843
11224,19,30,38,14,38,Entity Eliminators,993
11225,50,57,26,43,35,Demon Destroyers,2626
11226,43,59,27,35,32,Phantom Pummelers,3159
11227,73,46,94,82,73,Mundanifying Mystics,3699
11228,53,49,70,68,72,Phantom Pummelers,3082
11229,40,35,57,16,20,Wraith Wranglers,1561
11230,27,47,49,40,31,Phantom Pummelers,4007
11231,24,15,52,68,33,Phantom Pummelers,1612
11232,11,15,33,39,25,Mundanifying Mystics,3347
11233,72,76,56,69,86,Entity Eliminators,5854
11234,72,75,66,49,81,Spectre Slayers,5474
11235,73,81,82,81,73,Mundanifying Mystics,2105
11236,76,58,73,73,64,Entity Eliminators,5177
11237,30,17,40,50,33,Mundanifying Mystics,3095
11238,33,36,39,80,55,Mundanifying Mystics,3919
11239,36,34,51,66,29,Entity Eliminators,1591
11240,23,32,13,33,23,Demon Destroyers,2020
11241,29,27,13,4,18,Phantom Pummelers,2522
11242,46,55,84,84,78,Phantom Pummelers,3584
11243,29,41,63,26,51,Entity Eliminators,2616
11244,56,60,56,78,84,Mundanifying Mystics,2584
11245,21,28,6,28,28,Demon Destroyers,2272
11246,55,73,44,50,24,Demon Destroyers,2153
11247,23,16,20,54,47,Spectre Slayers,1576
11248,21,15,38,65,54,Spectre Slayers,1912
11249,49,31,9,22,64,Demon Destroyers,3884
11250,27,21,80,32,21,Demon Destroyers,1610
11251,62,37,4,35,37,Entity Eliminators,3471
11252,83,87,56,75,57,Entity Eliminators,4661
11253,77,28,25,21,36,Phantom Pummelers,2433
11254,42,50,20,33,19,Mundanifying Mystics,3469
11255,60,44,70,36,64,Phantom Pummelers,3875
11256,24,19,60,41,36,Spectre Slayers,3264
11257,21,32,32,34,27,Mundanifying Mystics,3004
11258,29,16,7,17,17,Mundanifying Mystics,4041
11259,67,20,47,23,75,Mundanifying Mystics,2009
11260,21,63,3,18,20,Mundanifying Mystics,5131
11261,70,54,77,49,84,Wraith Wranglers,6123
11262,30,23,20,59,48,Phantom Pummelers,1505
11263,55,65,70,74,67,Phantom Pummelers,5869
11264,63,39,35,38,46,Spectre Slayers,3905
11265,31,12,35,14,21,Demon Destroyers,1598
11266,28,50,36,36,25,Wraith Wranglers,2005
11267,41,52,92,79,70,Wraith Wranglers,6830
11268,39,31,42,32,34,Mundanifying Mystics,3680
11269,58,48,62,68,63,Wraith Wranglers,4859
11270,49,63,80,23,30,Demon Destroyers,2170
11271,30,58,52,62,73,Spectre Slayers,4395
11272,11,48,18,65,23,Demon Destroyers,2210
11273,16,55,44,87,50,Wraith Wranglers,5276
11274,41,34,11,32,22,Demon Destroyers,2372
11275,21,21,41,41,42,Demon Destroyers,3434
11276,8,9,48,62,15,Demon Destroyers,1017
11277,12,30,4,42,58,Mundanifying Mystics,2916
11278,47,17,8,75,40,Phantom Pummelers,2477
11279,65,81,70,20,71,Mundanifying Mystics,2945
11280,62,67,55,63,72,Demon Destroyers,5114
11281,60,20,23,44,21,Wraith Wranglers,3404
11282,21,54,41,12,14,Demon Destroyers,1060
11283,67,66,73,55,49,Demon Destroyers,2706
11284,39,45,70,59,52,Spectre Slayers,3741
11285,30,23,11,38,30,Entity Eliminators,1714
11286,20,26,36,20,41,Entity Eliminators,1576
11287,52,43,21,19,13,Demon Destroyers,1016
11288,70,66,69,72,61,Wraith Wranglers,7768
11289,53,73,70,83,69,Demon Destroyers,5073
11290,28,17,20,22,64,Wraith Wranglers,1637
11291,67,54,56,25,50,Phantom Pummelers,3704
11292,56,32,6,19,17,Entity Eliminators,1817
11293,25,15,13,38,20,Phantom Pummelers,1176
11294,71,83,52,60,61,Phantom Pummelers,3743
11295,28,13,7,16,21,Entity Eliminators,1729
11296,79,47,85,84,83,Phantom Pummelers,1889
11297,26,40,65,42,33,Phantom Pummelers,3823
11298,19,24,31,35,33,Spectre Slayers,2410
11299,32,35,94,52,63,Entity Eliminators,2227
11300,26,22,26,29,20,Entity Eliminators,2707
11301,53,79,86,29,75,Wraith Wranglers,3386
11302,26,18,61,46,41,Entity Eliminators,2275
11303,77,68,73,93,80,Mundanifying Mystics,2885
11304,74,65,81,69,70,Demon Destroyers,5003
11305,69,79,85,79,74,Entity Eliminators,4436
11306,28,29,13,23,28,Mundanifying Mystics,2969
11307,11,11,29,51,46,Mundanifying Mystics,2733
11308,40,41,16,34,26,Mundanifying Mystics,4191
11309,38,21,13,47,58,Spectre Slayers,1025
11310,17,5,20,42,26,Demon Destroyers,1783
11311,39,38,10,66,38,Demon Destroyers,2747
11312,30,33,39,24,31,Demon Destroyers,2383
11313,23,26,9,22,23,Phantom Pummelers,1469
11314,22,15,58,42,58,Wraith Wranglers,4342
11315,62,67,81,81,82,Spectre Slayers,4346
11316,19,24,24,60,56,Entity Eliminators,1595
11317,32,54,45,39,33,Spectre Slayers,3486
11318,30,21,14,53,22,Spectre Slayers,1149
11319,44,20,5,18,20,Wraith Wranglers,1277
11320,16,21,33,11,37,Wraith Wranglers,1133
11321,38,18,13,37,25,Demon Destroyers,2292
11322,26,20,23,41,31,Spectre Slayers,1444
11323,29,25,19,18,16,Spectre Slayers,1521
11324,59,62,87,59,65,Spectre Slayers,5304
11325,31,26,44,22,19,Entity Eliminators,2793
11326,23,61,15,55,27,Wraith Wranglers,5295
11327,81,82,48,79,90,Demon Destroyers,4407
11328,53,70,79,93,55,Mundanifying Mystics,2360
11329,85,56,69,82,66,Phantom Pummelers,4193
11330,52,71,68,67,57,Spectre Slayers,6103
11331,52,55,51,67,68,Entity Eliminators,3034
11332,33,18,16,18,42,Entity Eliminators,1522
11333,21,25,26,37,31,Demon Destroyers,1544
11334,18,50,60,25,11,Demon Destroyers,1608
11335,78,47,56,78,57,Wraith Wranglers,5636
11336,60,87,81,90,62,Mundanifying Mystics,3340
11337,38,31,45,65,57,Demon Destroyers,3951
11338,41,59,85,67,66,Mundanifying Mystics,3123
11339,78,69,81,89,75,Demon Destroyers,5203
11340,48,39,33,18,17,Spectre Slayers,3192
11341,56,42,79,90,62,Wraith Wranglers,5757
11342,35,26,38,23,36,Wraith Wranglers,1989
11343,87,72,55,87,76,Phantom Pummelers,5743
11344,28,12,16,7,9,Demon Destroyers,1010
11345,55,53,62,43,55,Mundanifying Mystics,2485
11346,70,69,66,28,33,Demon Destroyers,3328
11347,58,65,88,65,73,Entity Eliminators,5088
11348,73,73,32,65,73,Wraith Wranglers,6249
11349,65,48,68,84,69,Mundanifying Mystics,4615
11350,17,22,29,15,14,Demon Destroyers,1706
11351,66,59,71,29,73,Demon Destroyers,3033
11352,78,66,66,84,44,Demon Destroyers,4756
11353,26,53,25,23,11,Demon Destroyers,1457
11354,41,50,88,71,44,Demon Destroyers,3021
11355,37,22,3,83,31,Phantom Pummelers,2364
